"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"156","China",,"21111.01","Meat of cattle with the bone, fresh or chilled",2013,3,"3%","0 tons",,"Wholesale",,"decentralized agricultural system in China
cereal storage losses resulting from insect infestations , mold damage , rat infestations , respectivel",,"Literature Review","Gang Liu; food losses and waste in china_gang liu.pdf",,"5.7-8.6 % for grain , 2.5- 3.7 % for meats , and 10-15 % for perishable food 

 are found in post-harvest handling (4-6%
on average) and storage (5.7-8.6% on average). In processing and distribution, the average loss of
grain is 2.2-3.3% and 1-1.5%, respectively.


The loss rate at post-harvest handling, storage, processing, and distribution stages of meats can be approximated as 1.4-2.1%, 2.5- 3.7%, 1.1%, and 3%, respectively. One study also estimates that about 2%, 4%, and 3.2% of fish and aquatic products are lost at the harvesting, storage, and distribution stages, respectively (许世卫 2007)

, the national average household storage loss of maize is 11 % , much higher than 6.5 % for rice and 4.7 % for wheat 

'in northeastern provinces , northwestern provinces , the middle and lower reaches of Yangze River , and the Yellow-Huaihe-Haihe Plain is 10.2 % , 8.8 % , 7.4 % , and 5 % , respectively . T"
"156","China",,"21111.01","Meat of cattle with the bone, fresh or chilled",2007,3.1,"2.5-3.7",,,"Storage",,,,"No Data Collection Specified",,"http://www.oecd.org/site/agrfcn/food%20losses%20and%20waste%20in%20china_gang%20liu.pdf",
"156","China",,"21111.01","Meat of cattle with the bone, fresh or chilled",2007,3,"3",,,"Wholesale",,,,"No Data Collection Specified",,"http://www.oecd.org/site/agrfcn/food%20losses%20and%20waste%20in%20china_gang%20liu.pdf",
"156","China",,"21111.01","Meat of cattle with the bone, fresh or chilled",2007,1.1,"1.1",,,"Processing",,,,"No Data Collection Specified",,"http://www.oecd.org/site/agrfcn/food%20losses%20and%20waste%20in%20china_gang%20liu.pdf",
"156","China",,"21111.01","Meat of cattle with the bone, fresh or chilled",2007,1.75,"1.4-2.1",,,"Processing",,"Handling",,"No Data Collection Specified",,"http://www.oecd.org/site/agrfcn/food%20losses%20and%20waste%20in%20china_gang%20liu.pdf",
"246","Finland",,"21111.01","Meat of cattle with the bone, fresh or chilled",2014,2.25,"2 - 2.5%","11 - 14 M kg/year","Manufacturing","Processing",,,,"Survey","J.-M. Katajajuuri et al. / Journal of Cleaner Production 73 (2014) 322e329",,
"246","Finland",,"22290","Dairy products n.e.c.",2014,3,"3%","33 - 43 M kg/year","Manufacturing","Processing",,"","","Survey","J.-M. Katajajuuri et al. / Journal of Cleaner Production 73 (2014) 322e329",,""
"246","Finland",,"02211","Raw milk of cattle",2013,3,"3",,,"Processing",,,,"Case Study","J.-M. Katajajuuri et al. / Journal of Cleaner Production 73 (2014) 322e329",,
"246","Finland",,"21111.01","Meat of cattle with the bone, fresh or chilled",2013,13.5,"2-25",,,"Processing",,,,"Case Study","J.-M. Katajajuuri et al. / Journal of Cleaner Production 73 (2014) 322e329",,
"246","Finland",,"02211","Raw milk of cattle",2013,0.5,"0.5%",,"Harvesting","Harvest",,,"15","Survey","Hartikainen et al., 2014",,"Expanded from loss factor 21118 based on the period_years."
"246","Finland",,"02211","Raw milk of cattle",2012,0.5,"0.5%",,"Harvesting","Harvest",,,"15","Survey","Hartikainen et al., 2014",,"Expanded from loss factor 21118 based on the period_years."
"246","Finland",,"02211","Raw milk of cattle",2011,0.5,"0.5%",,"Harvesting","Harvest",,,"15","Survey","Hartikainen et al., 2014",,"Expanded from loss factor 21118 based on the period_years."
"246","Finland",,"02211","Raw milk of cattle",2010,17,"17%",,"Consumption","Households",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
"246","Finland",,"02211","Raw milk of cattle",2010,4,"4%",,"Consumption","Households",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
